camera_timestamp,radar_timestamp,closest_radar_timestamp,tokens
1900-01-01 15:28:29.998383,1900-01-01 15:28:27.370959,15:28:29.991807,377810
1900-01-01 15:28:30.046904,1900-01-01 15:28:27.410303,15:28:30.031905,684565
1900-01-01 15:28:30.107978,1900-01-01 15:28:27.451118,15:28:30.111659,667699
1900-01-01 15:28:30.151699,1900-01-01 15:28:27.480541,15:28:30.141477,370771
1900-01-01 15:28:30.200050,1900-01-01 15:28:27.521038,15:28:30.182060,850171
1900-01-01 15:28:30.246873,1900-01-01 15:28:27.560561,15:28:30.262639,374883
1900-01-01 15:28:30.300744,1900-01-01 15:28:27.603143,15:28:30.292531,537915
1900-01-01 15:28:30.346877,1900-01-01 15:28:27.630122,15:28:30.342046,829967
1900-01-01 15:28:30.404447,1900-01-01 15:28:27.681073,15:28:30.411735,537144
1900-01-01 15:28:30.447195,1900-01-01 15:28:27.711423,15:28:30.451392,309729
1900-01-01 15:28:30.503515,1900-01-01 15:28:27.751159,15:28:30.492802,539387
1900-01-01 15:28:30.554074,1900-01-01 15:28:27.790606,15:28:30.562193,939964
1900-01-01 15:28:30.599791,1900-01-01 15:28:27.831310,15:28:30.602475,324932
1900-01-01 15:28:30.653499,1900-01-01 15:28:27.860953,15:28:30.642544,642135
1900-01-01 15:28:30.696123,1900-01-01 15:28:27.901076,15:28:30.712377,918452
1900-01-01 15:28:30.749749,1900-01-01 15:28:27.940962,15:28:30.752113,643418
1900-01-01 15:28:30.803164,1900-01-01 15:28:27.981625,15:28:30.792125,864247
1900-01-01 15:28:30.854029,1900-01-01 15:28:28.010103,15:28:30.865423,965855
1900-01-01 15:28:30.898342,1900-01-01 15:28:28.061139,15:28:30.901772,607627
1900-01-01 15:28:30.951037,1900-01-01 15:28:28.095454,15:28:30.943713,101034
1900-01-01 15:28:31.006277,1900-01-01 15:28:28.131266,15:28:31.012528,759114
1900-01-01 15:28:31.048984,1900-01-01 15:28:28.170619,15:28:31.051873,869389
1900-01-01 15:28:31.098624,1900-01-01 15:28:28.211118,15:28:31.094261,761427
1900-01-01 15:28:31.147382,1900-01-01 15:28:28.241982,15:28:31.162534,675864
1900-01-01 15:28:31.198922,1900-01-01 15:28:28.281412,15:28:31.201944,574065
1900-01-01 15:28:31.253770,1900-01-01 15:28:28.320801,15:28:31.243625,434869
1900-01-01 15:28:31.301201,1900-01-01 15:28:28.363337,15:28:31.312356,759475
1900-01-01 15:28:31.384305,1900-01-01 15:28:28.390682,15:28:31.392602,354292
1900-01-01 15:28:31.414406,1900-01-01 15:28:28.441355,15:28:31.421509,600834
1900-01-01 15:28:31.490190,1900-01-01 15:28:28.471262,15:28:31.501537,659629
1900-01-01 15:28:31.516296,1900-01-01 15:28:28.511583,15:28:31.501537,110532
1900-01-01 15:28:31.551911,1900-01-01 15:28:28.550403,15:28:31.542420,737306
1900-01-01 15:28:31.598946,1900-01-01 15:28:28.591509,15:28:31.612254,556419
1900-01-01 15:28:31.648879,1900-01-01 15:28:28.620840,15:28:31.651333,965038
1900-01-01 15:28:31.696993,1900-01-01 15:28:28.661470,15:28:31.692522,980014
1900-01-01 15:28:31.751555,1900-01-01 15:28:28.702503,15:28:31.764821,404869
1900-01-01 15:28:31.807559,1900-01-01 15:28:28.742017,15:28:31.802656,776982
1900-01-01 15:28:31.847234,1900-01-01 15:28:28.770323,15:28:31.842503,145527
1900-01-01 15:28:31.900854,1900-01-01 15:28:28.821401,15:28:31.912558,138485
1900-01-01 15:28:31.951051,1900-01-01 15:28:28.851923,15:28:31.951990,392884
1900-01-01 15:28:31.999119,1900-01-01 15:28:28.891519,15:28:31.992631,322686
1900-01-01 15:28:32.051503,1900-01-01 15:28:28.934853,15:28:32.062800,907421
1900-01-01 15:28:32.098694,1900-01-01 15:28:28.971306,15:28:32.102159,883380
1900-01-01 15:28:32.152130,1900-01-01 15:28:29.001255,15:28:32.143850,447597
1900-01-01 15:28:32.197466,1900-01-01 15:28:29.043678,15:28:32.222624,670505
1900-01-01 15:28:32.248906,1900-01-01 15:28:29.081178,15:28:32.261794,849689
1900-01-01 15:28:32.304826,1900-01-01 15:28:29.122251,15:28:32.294528,631379
1900-01-01 15:28:32.349069,1900-01-01 15:28:29.150793,15:28:32.332542,219187
1900-01-01 15:28:32.397811,1900-01-01 15:28:29.201748,15:28:32.402300,603814
1900-01-01 15:28:32.448092,1900-01-01 15:28:29.231817,15:28:32.442856,463580
1900-01-01 15:28:32.498256,1900-01-01 15:28:29.271524,15:28:32.482294,147895
1900-01-01 15:28:32.554447,1900-01-01 15:28:29.311398,15:28:32.551751,927257
1900-01-01 15:28:32.598938,1900-01-01 15:28:29.351571,15:28:32.602722,591778
1900-01-01 15:28:32.651936,1900-01-01 15:28:29.381545,15:28:32.646070,684536
1900-01-01 15:28:32.697254,1900-01-01 15:28:29.421798,15:28:32.712261,293759
1900-01-01 15:28:32.754629,1900-01-01 15:28:29.461074,15:28:32.752568,429160
1900-01-01 15:28:32.801116,1900-01-01 15:28:29.504246,15:28:32.782224,450539
1900-01-01 15:28:32.851852,1900-01-01 15:28:29.530960,15:28:32.861917,162504
1900-01-01 15:28:32.904051,1900-01-01 15:28:29.581754,15:28:32.904374,897965
1900-01-01 15:28:32.948737,1900-01-01 15:28:29.610922,15:28:32.932276,209650
1900-01-01 15:28:33.000649,1900-01-01 15:28:29.651564,15:28:32.982987,608926
1900-01-01 15:28:33.046929,1900-01-01 15:28:29.691979,15:28:33.052932,387009
1900-01-01 15:28:33.098105,1900-01-01 15:28:29.731857,15:28:33.092666,114376
1900-01-01 15:28:33.146523,1900-01-01 15:28:29.761321,15:28:33.132589,224280
1900-01-01 15:28:33.201847,1900-01-01 15:28:29.802040,15:28:33.203487,861853
1900-01-01 15:28:33.251205,1900-01-01 15:28:29.841924,15:28:33.242836,879790
1900-01-01 15:28:33.299411,1900-01-01 15:28:29.882864,15:28:33.311833,936006
1900-01-01 15:28:33.353192,1900-01-01 15:28:29.910733,15:28:33.362895,562735
1900-01-01 15:28:33.398224,1900-01-01 15:28:29.961910,15:28:33.402958,621219
1900-01-01 15:28:33.448939,1900-01-01 15:28:29.991807,15:28:33.433468,281010
1900-01-01 15:28:33.501130,1900-01-01 15:28:30.031905,15:28:33.512886,645344
1900-01-01 15:28:33.551511,1900-01-01 15:28:30.071113,15:28:33.553577,313322
1900-01-01 15:28:33.597439,1900-01-01 15:28:30.111659,15:28:33.583071,759040
1900-01-01 15:28:33.650711,1900-01-01 15:28:30.141477,15:28:33.664204,779318
1900-01-01 15:28:33.698177,1900-01-01 15:28:30.182060,15:28:33.692185,100780
1900-01-01 15:28:33.746855,1900-01-01 15:28:30.221608,15:28:33.744865,774836
1900-01-01 15:28:33.798895,1900-01-01 15:28:30.262639,15:28:33.812899,916579
1900-01-01 15:28:33.847420,1900-01-01 15:28:30.292531,15:28:33.852912,948673
1900-01-01 15:28:33.903199,1900-01-01 15:28:30.342046,15:28:33.893407,708445
1900-01-01 15:28:33.947694,1900-01-01 15:28:30.372336,15:28:33.963050,241666
1900-01-01 15:28:33.998581,1900-01-01 15:28:30.411735,15:28:34.002812,637118
1900-01-01 15:28:34.050205,1900-01-01 15:28:30.451392,15:28:34.044507,143886
1900-01-01 15:28:34.099611,1900-01-01 15:28:30.492802,15:28:34.123225,584860
1900-01-01 15:28:34.155637,1900-01-01 15:28:30.522185,15:28:34.162404,434922
1900-01-01 15:28:34.200360,1900-01-01 15:28:30.562193,15:28:34.194352,996000
1900-01-01 15:28:34.248828,1900-01-01 15:28:30.602475,15:28:34.232710,765232
1900-01-01 15:28:34.299617,1900-01-01 15:28:30.642544,15:28:34.303632,209776
1900-01-01 15:28:34.353276,1900-01-01 15:28:30.671460,15:28:34.343477,991427
1900-01-01 15:28:34.402248,1900-01-01 15:28:30.712377,15:28:34.382932,598147
1900-01-01 15:28:34.449942,1900-01-01 15:28:30.752113,15:28:34.452208,235346
1900-01-01 15:28:34.507601,1900-01-01 15:28:30.792125,15:28:34.503358,957086
1900-01-01 15:28:34.552272,1900-01-01 15:28:30.832278,15:28:34.543575,276570
1900-01-01 15:28:34.598335,1900-01-01 15:28:30.865423,15:28:34.612891,789251
1900-01-01 15:28:34.648571,1900-01-01 15:28:30.901772,15:28:34.653610,918061
1900-01-01 15:28:34.697334,1900-01-01 15:28:30.943713,15:28:34.683260,965251
